!Source	"The Drug Repurposing Hub, Broad Institute"		
!URL	http://www.broadinstitute.org/repurposing		
!File_date	3/27/17		
!Table_name	drug information		
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.		
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER’S SOLE RISK.		
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.		
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 23 (2017)."		
!Contact	repurposing@broadinstitute.org		
pert_iname	clinical_phase	moa	target
cloprostenol-(+/-)	Launched	prostaglandin receptor agonist	PTGDR|PTGER1|PTGER3|PTGFR|TBXA2R
cloranolol	Launched	adrenergic receptor antagonist	ADRB1|ADRB2|ADRB3
clorgiline	Phase 2	monoamine oxidase inhibitor	MAOA
clorotepine	Launched	dopamine receptor antagonist|adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|DRD2|HRH1|HTR2C|HTR6
clorprenaline	Launched	adrenergic receptor agonist	ADRB1|ADRB2
clorsulon	Launched	glycolysis inhibitor	
closantel	Launched	chitinase inhibitor|NFkB pathway inhibitor	
clotiapine	Launched		
clotrimazole	Launched	cytochrome P450 inhibitor|imidazoline receptor ligand	CYP3A4|KCNN4|NR1I2|NR1I3|TRPM2|TRPM4|TRPM8
cloxacillin	Launched	bacterial cell wall synthesis inhibitor	
cloxyquin	Preclinical	potassium channel activator	KCNK18
clozapine	Launched	dopamine receptor antagonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALY|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR3A|HTR5A|HTR6|HTR7
CL316243	Phase 2	adrenergic receptor agonist	ADRB3|UCP1|UCP2|UCP3
CMPD-1	Preclinical	p38 MAPK inhibitor	GNRHR|MAPK14
CNQX	Phase 1	glutamate receptor antagonist	GRIA1|GRIA2|GRIA3|GRIA4
CNX-2006	Preclinical	EGFR inhibitor	EGFR
CNX-774	Preclinical	Bruton's tyrosine kinase (BTK) inhibitor	BTK
CO-101244	Preclinical	glutamate receptor antagonist	GRIN2B
co-102862	Phase 1		SCN4A|SCN9A
cobicistat	Launched	cytochrome P450 inhibitor	CYP3A4|CYP3A43|CYP3A5|CYP3A7
cobimetinib	Launched	MEK inhibitor	
coenzyme-a	Launched		ACAT2|CRAT|CS|DBI|HMGCR|KAT2A|KAT2B|KAT5
coenzyme-i	Phase 2		AASS|ACADS|ADH1A|ADH1B|ADH1C|ADH4|ADH5|ADH7|AKR1B1|AKR1C1|AKR1C2|AKR1C3|AKR1C4|ALDH1A1|ALDH1A2|ALDH1A3|ALDH1B1|ALDH2|ALDH3A1|ALDH3A2|ALDH3B1|ALDH3B2|ALDH4A1|ALDH5A1|ALDH6A1|ALDH7A1|ALDH9A1|AMT|BDH1|BLVRA|BLVRB|CDO1|CYB5R3|CYP17A1|CYP4A11|DHCR7|DHFR|DLAT|DLD|EHHADH|GAPDH|GAPDHS|GLUD1|GLUD2|GPD1|GSR|H6PD|HADH|HADHA|HIBADH|HMGCR|HMOX1|HMOX2|HPGD|HSD11B1|HSD11B2|HSD17B1|HSD17B10|HSD17B2|HSD17B3|HSD17B4|HSD17B7|HSD17B8|HSD3B1|HSD3B2|IDH3A|IDH3B|IDH3G|IMPDH1|IMPDH2|LDHA|LDHAL6A|LDHAL6B|LDHB|LDHC|MDH1|MDH2|ME1|ME2|ME3|MSMO1|MT-ND1|MT-ND2|MT-ND3|MT-ND4|MT-ND4L|MT-ND5|MT-ND6|MTHFD1|MTHFD2|NDUFA1|NDUFA10|NDUFA11|NDUFA12|NDUFA13|NDUFA2|NDUFA3|NDUFA4|NDUFA4L2|NDUFA5|NDUFA6|NDUFA7|NDUFA8|NDUFA9|NDUFAB1|NDUFB1|NDUFB10|NDUFB2|NDUFB3|NDUFB4|NDUFB5|NDUFB6|NDUFB7|NDUFB8|NDUFB9|NDUFC1|NDUFC2|NDUFS1|NDUFS2|NDUFS3|NDUFS4|NDUFS5|NDUFS6|NDUFS7|NDUFS8|NDUFV1|NDUFV2|NDUFV3|NNT|NQO2|NSDHL|OGDH|PDHA1|PDHA2|PDHB|PHGDH|PYCR1|PYCR2|QDPR|RDH5|SORD|TSTA3|TYR|UGDH
coenzyme-q10	Launched		
colchicine	Launched	microtubule inhibitor	GLRA1|GLRA2|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8
colesevalam	Preclinical		
colforsin	Phase 2	adenylyl cyclase activator	ADCY2|ADCY5
colforsin-daproate	Launched	adenylyl cyclase activator	
colfosceril-palmitate	Launched	pulmonary surfactant	
colistimethate	Launched	bacterial permeability inducer	
colistin	Launched	bacterial permeability inducer	
colistin-b-sulfate	Launched	bacterial permeability inducer	
colistin-sulfate	Launched	bacterial permeability inducer	
combretastatin-A-4	Phase 2	tubulin polymerization inhibitor	
compound-w	Preclinical	beta-secretase inhibitor	BACE1
compound-401	Preclinical	DNA dependent protein kinase inhibitor	MTOR|PRKDC
compound-58112	Preclinical		
conivaptan	Launched	vasopressin receptor antagonist	AVPR1A|AVPR2
copanlisib	Phase 3	PI3K inhibitor	PIK3CA|PIK3CB|PIK3CD|PIK3CG
copper-histidine	Phase 3		HAL|HARS|HDC|SLC15A3|SLC15A4|SLC38A3|SLC38A5
cordycepin	Phase 1/Phase 2	DNA inhibitor	
corosolic-acid	Phase 2	PKC inhibitor|protein tyrosine kinase inhibitor	HSD11B1|PTPN1
corticosterone	Preclinical	mineralocorticoid receptor agonist	HSD11B1|NCOA1|NR3C2
cortisone	Launched	glucocorticoid receptor agonist	NR3C1
cortisone-acetate	Launched	glucocorticoid receptor agonist	NR3C1
cortodoxone	Phase 3	androgen receptor antagonist	AR
costunolide	Preclinical	telomerase inhibitor	
cot-inhibitor-1	Preclinical	MAPK-interacting kinase inhibitor	MAP3K8
cot-inhibitor-2	Preclinical	MAPK-interacting kinase inhibitor	MAP3K8
cotinine	Phase 2	nicotine metabolite	
coumarin	Launched	vitamin K antagonist	CA1|CA12|CA14|CA2|CA4|CA6|CA9|CYP2A6
coumophos	Preclinical	cholinesterase inhibitor	
CP-339818	Preclinical	potassium channel blocker	KCNA3
CP-376395	Phase 1	corticosteroid releasing factor receptor antagonist	CRHR1
CP-532623	Phase 1	cholesteryl ester transfer protein inhibitor	CETP
CP-640186	Preclinical	acetyl-CoA carboxylase inhibitor	ACACA|ACACB
CP-673451	Preclinical	PDGFR tyrosine kinase receptor inhibitor	KIT|PDGFRA|PDGFRB
CP-724714	Phase 2	EGFR inhibitor|protein tyrosine kinase inhibitor	ERBB2
CP-91149	Preclinical	glycogen phosphorylase inhibitor	PYGL
CP-93129	Preclinical	serotonin receptor agonist	HTR1A
CP-94253	Preclinical	serotonin receptor agonist	HTR1B
CPA-inhibitor	Preclinical	carboxypeptidase inhibitor	CPA1|CPA2
CPCCOEt	Preclinical	glutamate receptor antagonist	GRM1
CPI-0610	Phase 1	bromodomain inhibitor	BRD4
CPI-1189	Phase 2	tumor necrosis factor release inhibitor	TNF
CPI-169	Preclinical	histone lysine methyltransferase inhibitor	EZH2
CPI-203	Preclinical	bromodomain inhibitor	BRD4
CPI-360	Preclinical	histone lysine methyltransferase inhibitor	EZH2
CPI-613	Phase 2	pyruvate dehydrogenase inhibitor	PDHA1
CPP	Phase 2	glutamate receptor antagonist	GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D
creatine	Launched		CKB|CKM|CKMT1A|CKMT2|GAMT|SLC6A8
creatinine	Preclinical		
creatinol-phosphate	Launched		
crenolanib	Phase 2	PDGFR tyrosine kinase receptor inhibitor	CSF1R|FLT3|KIT|PDGFRA|PDGFRB
cresol	Launched		
cresopirine	Preclinical		
cridanimod	Launched	progesterone receptor agonist	PGR
crisaborole	Phase 3	phosphodiesterase inhibitor	PDE4B
crizotinib	Launched	ALK tyrosine kinase receptor inhibitor	ALK|MET
crizotinib-(S)	Preclinical	MTH1 inhibitor	NUDT1
croconazole	Launched	bacterial cell wall synthesis inhibitor	
cromoglicic-acid	Launched	immunosuppressant	KCNMA1|S100P
crotamiton	Launched	antipruritic	
CRT0044876	Preclinical		
cryptotanshinone	Preclinical	acetylcholinesterase inhibitor|STAT inhibitor	STAT3
crystal-violet	Launched	other antibiotic	
CR8-(R)	Preclinical	CDK inhibitor	CCNA2
CS-110266	Preclinical	dopamine receptor agonist	SLC6A3
CS-917	Phase 2	fructose biphosphate inhibitor	FBP1
CT-7758	Phase 2	integrin antagonist	ITGA4
CTEP	Preclinical	glutamate receptor antagonist	GRM5
CTS-1027	Phase 2	metalloproteinase inhibitor	MMP1|MMP13|MMP2|MMP3|MMP9
CTS21166	Phase 1	beta-secretase inhibitor	BACE1
CUDC-101	Phase 1	EGFR inhibitor	EGFR|ERBB2
CUDC-427	Phase 1	apoptosis inhibitor	XIAP
CUDC-907	Phase 2	PI3K inhibitor	HDAC2|PIK3R1
CUR-61414	Phase 1	smoothened receptor antagonist	DHH|IHH|SMO
curcumin	Launched	cyclooxygenase inhibitor|histone acetyltransferase inhibitor|lipoxygenase inhibitor|NFkB pathway inhibitor	APP|CA1|CA12|CA14|CA2|CA4|CA6|CA9|CYP3A4|DNMT3B|EP300|MMP13|MMP9|NOS2|PTGS1|PTGS2|XDH
curcumol	Phase 1	JAK inhibitor	JAK1|JAK2|JAK3
cutamesine	Phase 2	sigma receptor agonist	SIGMAR1
CV-1808	Preclinical	adenosine receptor agonist	ADORA2A
CVT-10216	Phase 1	aldehyde dehydrogenase inhibitor	ALDH2
CX-4945	Phase 1/Phase 2	casein kinase inhibitor	CSNK2A1|CSNK2A2|DAPK3|HIPK3
CX-516	Phase 2/Phase 3	glutamate receptor modulator	
CX-5461	Phase 1	RNA polymerase inhibitor	
cyacetacide	Preclinical		
cyamemazine	Launched	serotonin receptor antagonist	HTR1A|HTR2A|HTR2C|HTR7
cyanocobalamin	Launched	methylmalonyl CoA mutase stimulant|vitamin B	MMAA|MMACHC|MTHFR|MTR|MTRR|MUT
cyanopindolol	Phase 2	adrenergic receptor antagonist	ADRB1|HTR1A|HTR1D
cyclamic-acid	Preclinical		
cyclandelate	Launched	calcium channel blocker	CACNA2D1|CES1
cyclic-AMP	Preclinical		CNGA3|HCN2|PRKAR1A|PRKAR2B|TRPM7
cyclizine	Launched	histamine receptor modulator	HRH1|SULT1E1
cyclobenzaprine	Launched	adrenergic receptor agonist|serotonin receptor agonist	HTR2A
cyclocreatine	Phase 1	creatine kinase substrate	
cyclocytidine	Preclinical	DNA synthesis inhibitor|RNA synthesis inhibitor	
cycloheximide	Preclinical	protein synthesis inhibitor	RPL3
cyclopenthiazide	Launched	thiazide diuretic	
cyclopentolate	Launched	acetylcholine receptor antagonist	CHRM1
cyclophosphamide	Launched	DNA alkylating agent	CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP3A4|CYP3A5|CYP3A7
cyclopiazonic-acid	Preclinical	ATPase inhibitor	ATP2A1
cycloserine-(d)	Launched	bacterial cell wall synthesis inhibitor	GRIN1
cyclosporin-a	Launched	calcineurin inhibitor	PPP3CA
cyclosporine	Launched	calcineurin inhibitor	ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3
cyclothiazide	Launched	glutamate receptor modulator	CA1|CA2|CA4|FXYD2|GRIA1|GRIA2|GRIA3|GRIA4|SLC12A3
cyclovalone	Launched	breast cancer resistance protein inhibitor	ABCG2
cyclovirobuxin-d	Preclinical	calcium channel modulator	
CYC116	Phase 1	Aurora kinase inhibitor	AURKA|AURKB|KDR
cypermethrin	Launched		
cyproheptadine	Launched	histamine receptor antagonist	ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|HRH1|HTR2A|HTR2C|HTR6|HTR7
cyproterone	Launched	androgen receptor antagonist	AR
cyproterone-acetate	Launched	androgen receptor antagonist	ADORA1|AR
cyromazine	Launched		
cysteamine	Launched	tissue transglutaminase inhibitor	NPY2R|SST
CYT-997	Phase 2	tubulin polymerization inhibitor	TUBB
cytarabine	Launched	ribonucleotide reductase inhibitor	POLA1|POLB|POLD1|POLE
cytisine	Launched	acetylcholine receptor agonist	CHRNA2|CHRNA3|CHRNA4|CHRNA6|CHRNA7|CHRNB2|CHRNB4
cytochalasin-b	Phase 2	microtubule inhibitor	ACTB
cytochlor	Phase 1		
cyt387	Phase 3		JAK1|JAK2|JAK3
CY208-243	Phase 2	dopamine receptor agonist	CALY
CZC24832	Preclinical	PI3K inhibitor	PIK3CG
C106	Phase 3		
C11-Acetate	Phase 3		ABAT|ACE|AKR1C3|CA2|CELA1|ESR2|FFAR2|FFAR3|HPRT1|LTA4H|MMP12|NOS1|NOS3|PLA2G1B|PTPN1|SOD1|TXN
C646	Preclinical	histone acetyltransferase inhibitor	EP300
D-(+)-maltose	Preclinical		AMY2B|MGAM
D-alpha-tocopheryl-succinate	Launched		
D-delta-Tocopherol	Launched		
D-limonene	Phase 1		
D-Phenylalanine	Preclinical	enkephalinase inhibitor	CCBL1|CRH|HCAR3
D-Serine	Launched	glutamate receptor agonist	GLRA1|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|SERPINB3
D-4476	Preclinical	TGF beta receptor inhibitor	CSNK1A1|CSNK1D|TGFB1
D-64131	Preclinical	microtubule inhibitor	TUBB
D-7193	Phase 2		
DAA-1106	Preclinical	benzodiazepine receptor agonist	TSPO
dabigatran	Launched	thrombin inhibitor	F2
dabigatran-etexilate	Launched	thrombin inhibitor	F2
dabrafenib	Launched	RAF inhibitor	BRAF|LIMK1|NEK11|RAF1|SIK1
dacarbazine	Launched	DNA alkylating agent	PGD|POLA2
dacinostat	Phase 1	HDAC inhibitor	HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9
daclatasvir	Launched	HCV inhibitor	
dacomitinib	Phase 3	EGFR inhibitor	EGFR|ERBB2|ERBB4
dactinomycin	Launched	RNA polymerase inhibitor	POLR2A
daidzein	Phase 2	estrogen receptor agonist	ESRRA|ESRRB|ESRRG|TRPC5
dalargin	Phase 2	opioid receptor agonist	OPRM1
dalbavancin	Launched	bacterial cell wall synthesis inhibitor	PNLIP
dalcetrapib	Phase 3	cholesteryl ester transfer protein inhibitor	CETP
dalfampridine	Launched	potassium channel blocker	KCNA1|KCNA10|KCNA2|KCNA3|KCNA4|KCNA5|KCNA6|KCNA7|KCNB1|KCNB2|KCNC1|KCNC2|KCNC3|KCNC4|KCND1|KCND2|KCND3|KCNF1|KCNG1|KCNG2|KCNG3|KCNG4|KCNH1|KCNH2|KCNH3|KCNH4|KCNH5|KCNH6|KCNH7|KCNH8|KCNJ13|KCNJ5|KCNQ1|KCNQ2|KCNQ3|KCNQ4|KCNQ5|KCNS1|KCNS2|KCNS3|KCNV1|KCNV2
daltroban	Phase 3	thromboxane receptor antagonist	TBXA2R
danazol	Launched	estrogen receptor antagonist|progesterone receptor agonist	AR|CCL2|ESR1|GNRHR|GNRHR2|PGR
danegaptide	Phase 2	gap junction modulator	
danirixin	Phase 2	CC chemokine receptor antagonist	CXCR2
danofloxacin	Launched	bacterial DNA gyrase inhibitor	
danoprevir	Phase 2	HCV inhibitor	
dantrolene	Launched	calcium channel blocker	RYR1|RYR3
dantron	Withdrawn	laxative	
danusertib	Phase 2	Aurora kinase inhibitor|growth factor receptor inhibitor	AURKA|AURKB|AURKC|FGFR1|NTRK1|RET|SLK
dapagliflozin	Launched	sodium/glucose cotransporter inhibitor	SLC5A1|SLC5A2
daphnetin	Preclinical	protein kinase inhibitor	
dapiprazole	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D
dapivirine	Phase 3	non-nucleoside reverse transcriptase inhibitor	CYP3A4|CYP3A5
dapoxetine	Launched	selective serotonin reuptake inhibitor (SSRI)	HTR1A|HTR1B|HTR2C|SLC6A4
daprodustat	Phase 3	hypoxia inducible factor inhibitor	EGLN1
dapsone	Launched	bacterial antifolate	DHFR
DAPT	Preclinical	gamma secretase inhibitor	
daptomycin	Launched	bacterial cell wall synthesis inhibitor	
darapladib	Phase 3	phospholipase inhibitor	PLA2G7
darglitazone	Phase 2	PPAR receptor antagonist	PPARG
darifenacin	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
darunavir	Launched	HIV protease inhibitor	CYP3A4
darusentan	Phase 3	endothelin receptor antagonist	EDNRA
dasabuvir	Launched	HCV inhibitor	
dasatinib	Launched	Bcr-Abl kinase inhibitor|ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|src inhibitor|tyrosine kinase inhibitor	ABL1|ABL2|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|STAT5B|YES1
DAU-5884	Preclinical	acetylcholine receptor antagonist	CHRM3
daucosterol	Phase 2	apoptosis stimulant	
daunorubicin	Launched	RNA synthesis inhibitor|topoisomerase inhibitor	TOP2A|TOP2B
dazmegrel	Phase 2	thromboxane synthase inhibitor	TBXAS1
dazoxiben	Phase 2	thromboxane synthase inhibitor	TBXAS1
DBeQ	Preclinical	ATPase inhibitor	CASP3
DBPR108	Phase 1	dipeptidyl peptidase inhibitor	DPP4
DCC-2618	Phase 1	PDGFR tyrosine kinase receptor inhibitor|KIT inhibitor	KIT|PDGFRA
DCEBIO	Preclinical	potassium channel activator	KCNN2|KCNN3|KCNN4
DCPIB	Preclinical	chloride channel blocker|gap junction modulator|glutamate inhibitor	SLC1A2
debrisoquin	Launched	adrenergic neuron blocker	SLC6A2
decamethonium	Launched	acetylcholine receptor agonist	ACHE|CHRNA2
decamethoxine	Phase 2	antiseptic	
decernotinib	Phase 2/Phase 3	JAK inhibitor	JAK3
decitabine	Launched	DNA methyltransferase inhibitor	DNMT1|DNMT3A
decoquinate	Launched	antiprotozoal agent	
defactinib	Phase 2	focal adhesion kinase inhibitor	PTK2
deferasirox	Launched	chelating agent	CYP3A4
deferiprone	Launched	chelating agent	UGT1A6
deferoxamine-mesylate	Launched	chelating agent	
deflazacort	Launched	glucocorticoid receptor agonist	NR3C1
deforolimus	Phase 3	mTOR inhibitor	MTOR
degarelix	Launched	gonadotropin releasing factor hormone receptor antagonist	GNRHR
dehydroacetic-acid	Preclinical		
dehydrocholate	Preclinical		
dehydrocholate-acid	Preclinical		
dehydrocorydaline	Phase 3	acetylcholinesterase inhibitor	ACHE
dehydroepiandrosterone	Launched	protein synthesis stimulant	ESR1|ESR2|G6PD|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|HSD17B1|NR1I2|NR1I3|PPARA|SIGMAR1|SULT2A1|SULT2B1
dehydroepiandrosterone-sulfate	Launched	androgen receptor agonist|estrogen receptor agonist	AR|ESR1|ESR2
delamanid	Launched	bacterial cell wall synthesis inhibitor	
delanzomib	Phase 1/Phase 2	proteasome inhibitor	CMA1|CTSG|CYP3A4|ELANE
delapril	Launched	angiotensin converting enzyme inhibitor	ACE
delavirdine	Launched	non-nucleoside reverse transcriptase inhibitor	CYP3A4
delivert	Launched	angiotensin receptor agonist	AGTR1|AGTR2
delphinidin	Phase 2	membrane permeability inhibitor	GLO1
delta-Tocotrienol	Phase 1	HMGCR inhibitor	HMGCR
demecarium	Launched	acetylcholinesterase inhibitor	ACHE|BCHE
demeclocycline	Launched	bacterial 30S ribosomal subunit inhibitor	
denatonium-benzoate	Preclinical		
denotivir	Launched	antiviral	
deoxyarbutin	Preclinical	tyrosinase inhibitor	
deoxycholic-acid	Launched	biliverdin reductase A activator|G protein-coupled receptor agonist	EFTUD1|FPR1|GPBAR1
deoxycorticosterone-acetate	Preclinical	progestogen hormone	NR3C2
deoxyepinephrine	Preclinical	adrenergic receptor agonist|dopamine receptor agonist	ADRA1A|DRD1|DRD2
deptropine	Preclinical	histamine receptor antagonist	HRH1
dequalinium	Launched	PKC inhibitor	KCNN1|KCNN3
deracoxib	Launched	cyclooxygenase inhibitor	PTGS2
deserpidine	Launched	angiotensin converting enzyme inhibitor	ACE|SLC18A2
desipramine	Launched	tricyclic antidepressant	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|HRH1|HTR1A|HTR2A|HTR2C|SLC6A2|SLC6A4|SMPD1
deslanoside	Launched	Na/K-ATPase inhibitor	ATP1A1|ATP1A2|ATP1A3|ATP1A4|ATP1B1|ATP1B2|ATP1B3|FXYD2
desloratadine	Launched	histamine receptor antagonist	HRH1
desmethylclozapine	Phase 2	acetylcholine receptor agonist	HTR2C
desmopressin-acetate	Launched	vasopressin receptor agonist	AVPR1A|AVPR1B|AVPR2|OXTR
desogestrel	Launched	progesterone receptor agonist	ESR1|PGR
desonide	Launched	glucocorticoid receptor agonist	NR3C1|PLA2G1B
desoximetasone	Launched	glucocorticoid receptor agonist	NR3C1|PLA2G1B
desoxycorticosterone-pivalate	Launched	corticosteroid agonist	NR3C2
desoxycortone	Preclinical	mineralocorticoid receptor agonist	NR3C1|NR3C2
desoxypeganine	Phase 1	acetylcholinesterase inhibitor|monoamine oxidase inhibitor	ACHE
desvenlafaxine	Launched	serotonin–norepinephrine reuptake inhibitor (SNRI)	SLC6A2|SLC6A3|SLC6A4
detomidine	Launched	adrenergic receptor agonist	ADRA2A
dexamethasone	Launched	glucocorticoid receptor agonist	ANXA1|NOS2|NR0B1|NR3C1|NR3C2
dexamethasone-acetate	Launched	glucocorticoid receptor agonist	
dexamethasone-sodium-phosphate	Launched	glucocorticoid receptor agonist	NR3C1
dexchlorpheniramine	Launched	histamine receptor antagonist	
dexfenfluramine	Withdrawn	serotonin receptor agonist	HTR2C|SLC6A4
dexfosfoserine	Preclinical	membrane integrity inhibitor	CFTR|GRM4|GRM6|GRM7|GRM8|KCNC4|PDPK1|PIM1|PRKACA|PRKCQ|PYGL|PYGM|REG1A|RHO|SERPINB3|SMAD2|TAOK2
dexlansoprazole	Launched	ATPase inhibitor	ATP4A|ATP4B
dexloxiglumide	Phase 3	CCK receptor antagonist	CCKAR
dexniguldipine	Phase 2	calmodulin antagonist	ADORA3
dexpanthenol	Launched		
dexrazoxane	Launched	chelating agent|topoisomerase inhibitor	TOP2A|TOP2B
dextran	Launched		
dextroamphetamine	Launched	monoamine oxidase inhibitor	ADRA1A|ADRA1B|SLC18A2|SLC6A2|SLC6A3|TAAR1
dextromethorphan	Launched	glutamate receptor antagonist|sigma receptor agonist	CHRNA2|CHRNA3|CHRNA4|CHRNA7|CHRNB2|CHRNB4|CYBA|CYBB|GRIN3A|NCF1|NCF2|NCF4|OPRD1|OPRK1|OPRM1|PGRMC1|RAC1|RAC2|SIGMAR1|SLC6A2|SLC6A4
dextrose	Launched		
DFB	Preclinical	glutamate receptor agonist	GRM5
DH-97	Preclinical	melatonin receptor antagonist	MTNR1B
DHBP	Preclinical	ryanodine receptor blocker	
diacerein	Launched	interleukin inhibitor	IL1B
diacetamate	Preclinical		
diadenosine-tetraphosphate	Phase 1	adenosine kinase inhibitor	P2RY13|P2RY2
dianhydrogalactitol	Phase 1	DNA alkylating agent	
diarylpropionitrile	Preclinical	estrogen receptor agonist	ESR2
diatrizoic-acid	Launched		
diaveridine	Launched	dihydrofolate reductase inhibitor	
diazepam	Launched	benzodiazepine receptor agonist	ADRA1A|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GABRR1|GABRR2|GABRR3|TSPO
diazooxonorleucine	Phase 2	glutamate receptor antagonist	
diazoxide	Launched	potassium channel activator	ATP1A1|CA1|CA2|KCNJ11|KCNJ8|KCNMA1|SLC12A3
dibekacin	Launched	bacterial 30S ribosomal subunit inhibitor	
dibenzepine	Preclinical	norepinephrine reputake inhibitor	
dibenzothiophene	Preclinical		
dibutyl-phthalate	Preclinical		TRPA1
dichlorisone-acetate	Phase 2		
dichloroacetate	Phase 3	pyruvate dehydrogenase kinase inhibitor	PDK1
dichlorophen	Launched	anticestodal agent	
dichlorvos	Launched	acetylcholinesterase inhibitor	
diclazuril	Launched	antiprotozoal agent	
diclofenac	Launched	cyclooxygenase inhibitor	AKR1C3|ALOX5|ASIC1|ASIC3|KCNQ2|KCNQ3|PLA2G2A|PPARG|PTGS1|PTGS2|SCN4A
diclofenamide	Launched	carbonic anhydrase inhibitor	CA1|CA12|CA2|CA4|CA7
diclofensine	Phase 3	dopamine reuptake inhibitor	DRD1|MAOA|MAOB
dicloralurea	Preclinical		
dicloxacillin	Launched	bacterial cell wall synthesis inhibitor	
dicoumarol	Launched	NADPH inhibitor	CRYZ|NQO1|VKORC1
dicyclohexylamine	Preclinical		
dicycloverine	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3
didanosine	Launched	nucleoside reverse transcriptase inhibitor	PNP
dideoxyadenosine	Phase 1	nucleoside reverse transcriptase inhibitor	
didox	Launched	ribonucleotide reductase inhibitor	RRM1
dienestrol	Launched	estrogen receptor agonist	ESR1
dienogest	Launched	progesterone receptor agonist	PGR
diethylcarbamazine	Launched	lipoxygenase inhibitor	ALOX5|PTGS1
diethylstilbestrol	Withdrawn	estrogen receptor agonist	ESR1|ESR2|ESRRB|ESRRG
diethyltoluamide	Launched	ionotropic receptor IR40a activator	
difenpiramide	Launched	cyclooxygenase inhibitor|prostaglandin inhibitor	
diflorasone-diacetate	Launched	glucocorticoid receptor agonist	NR3C1
difloxacin	Launched	bacterial DNA gyrase inhibitor	
diflunisal	Launched	prostanoid receptor antagonist	PTGS1|PTGS2
difluprednate	Launched	glucocorticoid receptor agonist	NR3C1
diftalone	Launched	cyclooxygenase inhibitor	
digitoxigenin	Preclinical	ATPase inhibitor	ATP1A1
digitoxin	Launched	ATPase inhibitor	ATP1A1
digoxigenin	Preclinical	steroid	
digoxin	Launched	ATPase inhibitor	ATP1A1
