!Source	"The Drug Repurposing Hub, Broad Institute"				
!URL	http://www.broadinstitute.org/repurposing				
!File_date	3/24/2020				
!Table_name	drug information				
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
!Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
dolasetron	Launched	serotonin receptor antagonist	HTR3A	gastroenterology	nausea|vomiting
dolastatin-10	Phase 2	tubulin polymerization inhibitor	TUBB		
dolutegravir	Launched	HIV integrase inhibitor	CYP3A4|CYP3A5|CYP3A7|POU2F2|UGT1A1	infectious disease	human immunodeficiency virus (HIV-1)
domiphen	Preclinical				
domperidone	Launched	dopamine receptor antagonist	DRD2|DRD3	infectious disease	fescue toxicosis
donepezil	Launched	acetylcholinesterase inhibitor	ACHE	neurology/psychiatry	Alzheimer's disease
donitriptan	Phase 2	serotonin receptor agonist	HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR5A|HTR6		
dopamine	Launched	dopamine receptor agonist	DBH|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR7|SLC6A2|SLC6A3|SLC6A4	cardiology|neurology/psychiatry	ventricular arrhythmias|depression|headache|tremors
doramapimod	Phase 2	p38 MAPK inhibitor	MAPK11|MAPK12|MAPK13|MAPK14		
doramectin	Launched			infectious disease	gastrointestinal roundworms
doravirine	Launched	non-nucleoside reverse transcriptase inhibitor			
doripenem	Launched	bacterial cell wall synthesis inhibitor	DPEP1	infectious disease	intra-abdominal infections|urinary tract infections|pyelonephritis
dorsomorphin	Preclinical	AMPK inhibitor	ACVR1|BMPR1A|BMPR1B|EPHA2|FKBP1A|FLT1|FLT3|KDR|LCK|MKNK1|PRKAA1|RPS6KA1|SRC		
dorzolamide	Launched	carbonic anhydrase inhibitor	CA1|CA12|CA14|CA2|CA4|CA7	ophthalmology	intraocular pressure|glaucoma
dosulepin	Launched	norepinephrine reuptake inhibitor|serotonin–norepinephrine reuptake inhibitor (SNRI)|tricyclic antidepressant	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|SLC6A2|SLC6A4	neurology/psychiatry	depression
DOTMP	Preclinical				
dovitinib	Phase 3	EGFR inhibitor|FGFR inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	CSF1R|EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|INSR|KDR|KIT|PDGFRA|PDGFRB		
doxapram	Launched	potassium channel blocker		pulmonary|neurology/psychiatry	respiratory depression|central nervous system depression|acute hypercapnia (AHC)
doxazosin	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D	urology|cardiology	benign prostatic hyperplasia (BPH)|hypertension
doxepin	Launched	histamine receptor antagonist	HRH1|SLC6A2|SLC6A4	neurology/psychiatry	depression|anxiety
doxercalciferol	Launched	vitamin D receptor agonist	VDR	nephrology|endocrinology	chronic kidney disease (CKD)|hyperparathyroidism
doxifluridine	Launched	thymidylate synthase inhibitor	TYMS	oncology	colorectal cancer
doxofylline	Launched	adenosine receptor antagonist	ADORA1|PDE4A|PDE4B|PDE4C|PDE4D	pulmonary	asthma
doxorubicin	Launched	topoisomerase inhibitor	TOP2A	hematologic malignancy|oncology	acute lymphoblastic leukemia (ALL)|acute myeloid leukemia (AML)|Wilm's tumor|breast cancer|ovarian cancer|Hodgkin's lymphoma|bladder cancer|multiple myeloma
doxycycline	Launched	bacterial 30S ribosomal subunit inhibitor|metalloproteinase inhibitor	MMP8	dental	periodontitis
doxylamine	Launched	histamine receptor antagonist	HRH1	neurology/psychiatry	sedative
DpC	Phase 1				
DPC-681	Phase 1	HIV protease inhibitor			
DPCPX	Phase 1	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA2B|ADORA3		
DPI-201106	Phase 2	sodium channel activator	ADRB2		
DPO-1	Preclinical	potassium channel blocker	KCNA5		
DPPE	Phase 3	histamine receptor antagonist	ABCB1|HRH1		
DQP-1105	Preclinical	glutamate receptor antagonist	GRIN2C|GRIN2D		
DR-2313	Preclinical	PARP inhibitor	PARP1|PARP3		
DR-4485	Preclinical	serotonin receptor antagonist	HTR7		
DRF053-(R)	Preclinical	CDK inhibitor	CSNK1A1		
drofenine	Launched			neurology/psychiatry	spasms
droloxifene	Phase 3	selective estrogen receptor modulator (SERM)	ESR1		
dromostanolone-propionate	Launched	androgen receptor modulator	AR	oncology	breast cancer
dronedarone	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|KCNA5|KCNH2|KCNK2|SCN1A	cardiology	atrial fibrillation (AF)
droperidol	Launched	dopamine receptor antagonist	ADRA1A|DRD2|DRD3|DRD4|HTR2A	gastroenterology	nausea|vomiting
dropropizine	Launched	antitussive		pulmonary	cough suppressant
drospirenone	Launched	mineralocorticoid receptor antagonist	AR|NR3C2|PGR	endocrinology	contraceptive
drotaverine	Launched	phosphodiesterase inhibitor		obstetrics/gynecology	labor induction
droxicam	Launched	cyclooxygenase inhibitor	PTGS1	rheumatology	rheumatoid arthritis|osteoarthritis
droxidopa	Launched	norepinephrine precursor	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|PAH	cardiology|neurology/psychiatry	hypertension|Parkinson's Disease
droxinostat	Preclinical	HDAC inhibitor	HDAC6|HDAC8		
DSM265	Phase 2	dihydroorotate dehydrogenase inhibitor			
DSPC	Preclinical				
DSR-6434	Preclinical	toll-like receptor agonist	TLR7		
DS2-(806622)	Preclinical				
DU-728	Phase 1	structural glycoprotein antagonist	ITGA2B|ITGB3		
duloxetine	Launched	norepinephrine reuptake inhibitor|serotonin–norepinephrine reuptake inhibitor (SNRI)	HTR2A|HTR2C|HTR6|SLC6A2|SLC6A3|SLC6A4	neurology/psychiatry	depression|generalized anxiety disorder (GAD)|muscle pain|peripheral neuropathy
DUP-697	Phase 1	cyclooxygenase inhibitor	PTGS2		
dutasteride	Launched	5 alpha reductase inhibitor	SRD5A1|SRD5A2|SRD5A3	urology	benign prostatic hyperplasia (BPH)
duvelisib	Launched	PI3K inhibitor	PIK3CA|PIK3CB|PIK3CD|PIK3CG		
DVD-111	Phase 2				
DWK-1339	Preclinical	beta amyloid aggregation inhibitor			
dyclonine	Launched	sodium channel blocker	SCN10A|SCN5A	neurology/psychiatry	local anesthetic
dydrogesterone	Launched	progesterone receptor agonist	PGR	obstetrics/gynecology	infertility
dynasore	Preclinical	dynamin inhibitor	DNM1|DNM1L|DNM2		
dynole-34-2	Preclinical	dynamin inhibitor	DNM1		
dyphylline	Launched	adenosine receptor antagonist|phosphodiesterase inhibitor	PDE4A	pulmonary	asthma|bronchitis|emphysema
DY131	Preclinical	estrogen-related receptor agonist	ESRRB|ESRRG		
D609	Preclinical	phospholipase inhibitor			
E-2001	Preclinical	antioxidant			
E-2012	Phase 1	gamma secretase modulator	APH1A|APH1B|PSENEN		
E-4031	Phase 1	potassium channel blocker	KCNH1|KCNH2		
E-64	Preclinical	calpain inhibitor|cysteine protease inhibitor	CTSS		
eact	Preclinical	calcium-activated chloride channel inhibitor	ANO1		
EB-47	Preclinical	PARP inhibitor	PARP1		
ebastine	Launched	histamine receptor antagonist	CYP3A4|HRH1	allergy	allergic rhinitis|urticaria
EBPC	Preclinical	aldose reductase inhibitor	AKR1B1		
ebrotidine	Withdrawn	histamine receptor antagonist	HRH2		
ebselen	Phase 2/Phase 3	cyclooxygenase inhibitor|glutathione peroxidase agonist|H+/K+-ATPase inhibitor|nitric oxide synthase inhibitor	ALB		
EC-144	Preclinical	HSP inhibitor	HSP90AA1|HSP90AB1		
EC-23	Preclinical	retinoid receptor agonist	RARA|RARB|RARG		
ecabapide	Phase 3				
ecabet	Launched	gastrin inhibitor|urease inhibitor	NOXO1	ophthalmology	dry eye syndrome
ecamsule-triethanolamine	Launched			dermatology	skin protectant|sunscreen lotion
echinomycin	Phase 2	DNA intercalating agent			
econazole	Launched	lanosterol demethylase inhibitor|sterol demethylase inhibitor	NPY1R|NPY2R|TRPM2|TRPV5	infectious disease	tinea pedis|tinea cruris|tinea corporis|tinea versicolor|cutaneous candidiasis
ectoine	Launched	anti-inflammatory agent			
edaglitazone	Phase 2	PPAR receptor agonist	PPARG		
edaravone	Launched	nootropic agent	BCL2	neurology/psychiatry	stroke
edasalonexent	Phase 3	NFkB pathway inhibitor			
edelfosine	Phase 2	phospholipase inhibitor			
editol	Preclinical				
EDO-S101	Phase 1/Phase 2	HDAC inhibitor			
edonerpic-maleate	Preclinical	beta amyloid inhibitor			
edoxaban	Launched	coagulation factor inhibitor	F10	neurology/psychiatry|hematology|cardiology	stroke|pulmonary embolism (PE)|systemic embolism|deep vein thrombosis (DVT)|atrial fibrillation (AF)
edoxudine	Launched	DNA directed DNA polymerase inhibitor		infectious disease	virus herpes simplex (HSV)
edrophonium	Launched	acetylcholinesterase inhibitor	ACHE|BCHE	neurology/psychiatry	myasthenia gravis
EDTMP	Preclinical	chelating agent			
EED226	Preclinical	polycomb protein inhibitor	EED		
efaproxiral	Phase 3	hemoglobin oxygen release stimulant	HBA1|HBB		
efaroxan	Phase 2	adrenergic receptor antagonist	ADORA2A		
efatutazone	Phase 2	PPAR receptor agonist	PPARG		
efavirenz	Launched	HIV protease inhibitor	CYP1A2|CYP2B6|CYP2C19|CYP2C9|CYP2D6|CYP3A4	infectious disease	human immunodeficiency virus (HIV-1)
efinaconazole	Launched	lanosterol demethylase inhibitor	CYP51A1	infectious disease	onychomycosis
efletirizine	Phase 3	antihistamine			
eflornithine	Launched	ornithine decarboxylase inhibitor	ARG2|ODC1	dermatology	facial hair reduction
efloxate	Preclinical	vasodilator			
efonidipine	Launched	calcium channel blocker		cardiology	hypertension
EF5	Phase 2	cytochrome P450 activator			
EGF816	Phase 2	EGFR inhibitor	EGFR		
eglumetad	Phase 2	glutamate receptor agonist	GRM2|GRM3|GRM6|GRM8		
EG00229	Preclinical	neuropilin receptor antagonist	NRP1		
EHop-016	Preclinical	Ras GTPase inhibitor	RAC1|RAC3		
EIPA	Preclinical	sodium/hydrogen exchanger inhibitor|transient receptor potential polycystic inhibitor	ADRA2A|ASIC1|PKD2L1		
EIT-hydrobromide	Preclinical	nitric oxide synthase inhibitor	NOS2|NOS3		
EI1	Preclinical	histone lysine methyltransferase inhibitor	EZH2		
elacestrant	Phase 3	estrogen receptor degrader			
elacridar	Phase 1	P glycoprotein inhibitor	ABCB1		
elactocin	Phase 1	exportin antagonist	XPO1		
elacytarabine	Phase 3	antineoplastic agent	DCK		
elafibranor	Phase 3	PPAR receptor agonist	PPARA|PPARD|PPARG		
elagolix	Launched	gonadotropin releasing factor hormone receptor antagonist	GNRHR		
elbasvir	Launched	HCV inhibitor		infectious disease	hepatitis C
eldecalcitol	Phase 3	bone formation stimulant	VDR		
eleclazine	Phase 3	late sodium current inhibitor			
elemene	Phase 3	VEGFR inhibitor			
elesclomol	Phase 3	oxidative stress inducer	HSPA1A		
eletriptan	Launched	serotonin receptor agonist	HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2B|HTR7	neurology/psychiatry	migraine headache
eliglustat	Launched	glycosyl transferase inhibitor	UGCG	hematology	Gaucher disease
elinogrel	Phase 2	purinergic receptor antagonist	P2RY12		
eliprodil	Phase 3	glutamate receptor antagonist	GRIN1|GRIN2B		
ellagic-acid	Phase 2	glutathione transferase inhibitor|non-nucleoside reverse transcriptase inhibitor	CA1|CA12|CA14|CA2|CA3|CA4|CA5A|CA5B|CA6|CA7|CA9|CSNK2A1|GSK3B|PRKACA|PRKCA|PRKCB|SQLE|SYK		
ELN-441958	Preclinical	bradykinin receptor antagonist	BDKRB1		
eltanexor	Preclinical	exportin inhibitor			
eltanolone	Phase 3	GABA receptor positive allosteric modulator	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB2|GABRG2		
eltoprazine	Phase 2	serotonin receptor agonist	HTR1A|HTR1B		
eltrombopag	Launched	thrombopoietin receptor agonist	MPL	hematology|infectious disease	anemia|hepatitis C|thrombocytopenia
eluxadoline	Launched	opioid receptor agonist|opioid receptor antagonist	OPRD1|OPRK1|OPRM1	gastroenterology	irritable bowel syndrome
elvitegravir	Launched	HIV integrase inhibitor		infectious disease	human immunodeficiency virus (HIV-1)
emamectin	Preclinical	GABA receptor agonist			
embelin	Preclinical	HCV inhibitor|XIAP inhibitor	XIAP		
EMD-1214063	Phase 2	hepatocyte growth factor receptor inhibitor	MET		
EMD-386088	Preclinical	serotonin receptor agonist	HTR6		
EMD-53998	Phase 1	phosphodiesterase inhibitor	TNNC1		
EMD-66684	Preclinical	angiotensin receptor antagonist	AGTR1		
EMD534085	Preclinical	kinesin inhibitor			
emedastine	Launched	histamine receptor antagonist	HRH1	ophthalmology	conjunctivitis
emeramide	Phase 2	antioxidant			
emetine	Phase 2	protein synthesis inhibitor	RPS2		
emiglitate	Preclinical	alpha glucoside inhibitor			
emixustat	Phase 3	retinoid isomerohydrolase inhibitor			
emodepside	Phase 1	nematocide			
emodin	Preclinical	11-beta hydroxysteroid dehydrogenase inhibitor	CSNK2A1		
emorfazone	Launched	anti-inflammatory agent|cyclooxygenase inhibitor		dental	mouth inflammation
emoxipin	Phase 3				
empagliflozin	Launched	sodium/glucose cotransporter inhibitor	SLC5A1|SLC5A2	endocrinology	diabetes mellitus
emricasan	Phase 2	caspase inhibitor	CASP1|CASP3|CASP7		
emtricitabine	Launched	nucleoside reverse transcriptase inhibitor		infectious disease	human immunodeficiency virus (HIV-1)
enalapril	Launched	angiotensin converting enzyme inhibitor	ACE	cardiology	hypertension|congestive heart failure|left ventricular systolic dysfunction (LVSD)
enalaprilat	Launched	angiotensin converting enzyme inhibitor	ACE	cardiology	hypertension
enasidenib	Launched	isocitrate dehydrogenase inhibitor	IDH1	hematologic malignancy	acute myeloid leukemia (AML)
enbucrilate	Launched			dermatology	skin lacerations|tissue adhesive
enciprazine	Phase 3	GABA receptor modulator	GABRA1		
encorafenib	Launched	RAF inhibitor	BRAF	oncology	melanoma
endo-IWR-1	Preclinical	PARP inhibitor	TNKS|TNKS2		
endoxifen	Phase 2	estrogen receptor antagonist	ESR1		
enflurane	Launched	membrane permeability inhibitor	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9	neurology/psychiatry	anesthetic
enilconazole	Launched	sterol demethylase inhibitor	CYP19A1|CYP1A2|CYP2B6|CYP2C9|CYP2J2|CYP3A4|CYP3A5|NR1I2|PPARA|PTGER2	infectious disease	skin infections
eniluracil	Phase 3	dihydropyrimidine dehydrogenase inhibitor	AOX1|DPYD|XDH		
eniporide	Preclinical	sodium/hydrogen antiport inhibitor			
enisamium-iodide	Launched				
ENMD-2076	Phase 2	Aurora kinase inhibitor|FLT3 inhibitor|VEGFR inhibitor	AURKA|FLT3|KDR|PDGFRA|PTK2|SRC		
enocitabine	Launched	DNA synthesis inhibitor	CMPK1|RRM1|TYMS	hematologic malignancy	acute myeloid leukemia (AML)
enoxacin	Launched	topoisomerase inhibitor	TOP2A	infectious disease	urinary tract infections|gonorrhea
enoximone	Launched	phosphodiesterase inhibitor	PDE3A	cardiology	congestive heart failure
enoxolone	Launched	gap junction modulator	HSD11B1	gastroenterology|otolaryngology	peptic ulcer disease (PUD)|common cold
enprofylline	Phase 3	phosphodiesterase inhibitor	ADORA1|ADORA2A|ADORA2B|ADORA3|PDE4A|PDE4B		
enrofloxacin	Launched	bacterial DNA gyrase inhibitor		infectious disease	gram-negative bacterial infections
entacapone	Launched	catechol O methyltransferase inhibitor	COMT	neurology/psychiatry	Parkinson's Disease
entasobulin	Preclinical	tubulin polymerization inhibitor			
entecavir	Launched	DNA replication inhibitor|nucleoside reverse transcriptase inhibitor		infectious disease	hepatitis B
entinostat	Phase 3	HDAC inhibitor	HDAC1|HDAC2|HDAC3|HDAC9		
entrectinib	Launched	ALK tyrosine kinase receptor inhibitor|proto-oncogene tyrosine protein kinase inhibitor	ALK|NTRK1|NTRK2|NTRK3|ROS1	oncology	non-small cell lung cancer (NSCLC)
enzalutamide	Launched	androgen receptor antagonist	AR	oncology	prostate cancer
enzastaurin	Phase 3	PKC inhibitor	AKT1|GSK3B|PRKCA|PRKCB|PRKCD|PRKCG		
EN460	Preclinical	endoplasmic reticulum oxidation inhibitor	ERO1A		
EO-1428	Preclinical	p38 MAPK inhibitor	MAPK11|MAPK14		
epacadostat	Phase 3	"indoleamine 2,3-dioxygenase inhibitor"	IDO1		
epalrestat	Launched	aldose reductase inhibitor	AKR1B1	nephrology	diabetic nephropathy
eperezolid	Phase 1	bacterial 30S ribosomal subunit inhibitor			
eperisone	Launched	acetylcholine receptor antagonist	CYP2J2	neurology/psychiatry	amyotrophic lateral sclerosis (ALS)|spasms|head injury|spinal injury
epetraborole	Preclinical	leucyl-tRNA synthetase inhibitor			
ephedrine	Launched	adrenergic receptor agonist	ACHE|ADRA1A|ADRB2|SLC18A2|SLC6A2	cardiology|pulmonary|neurology/psychiatry|endocrinology	hypotension|asthma|narcolepsy|obesity
ephedrine-(racemic)	Launched	adrenergic receptor agonist	ADRA1A|ADRA2A|ADRB1|ADRB2|ATF1|ATF2|ATF3|ATF4|ATF5|ATF6|ATF7|FOS|IL2|JDP2|JUN|NFATC1|SLC6A2|SLC6A3|SLC6A4|TNF	cardiology|pulmonary|neurology/psychiatry|endocrinology	hypotension|asthma|narcolepsy|obesity
epiandrosterone	Preclinical	steroid	G6PD		
epicatechin-gallate-(-)	Phase 2	bacterial DNA gyrase inhibitor	BACE1|FASN		
epiestriol	Preclinical				
epigallocatechin-(-)	Phase 2				
epigallocatechin-gallate-(-)	Phase 2/Phase 3	bacterial DNA gyrase inhibitor	ELANE|EP300|FASN|KAT2B|MMP14|MMP2		
epinastine	Launched	histamine receptor antagonist	HRH1	ophthalmology	conjunctivitis
epinephrine	Launched	adrenergic receptor agonist|carbonic anhydrase activator|neurotransmitter	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|PAH|TNF	cardiology|allergy|pulmonary	cardiac arrest|anaphylactic shock|asthma
epirizole	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2	neurology/psychiatry	pain relief
epirubicin	Launched	topoisomerase inhibitor	CHD1|TOP2A	oncology	breast cancer
epitiostanol	Launched	androgen receptor agonist	AR	oncology	breast cancer
eplerenone	Launched	cytochrome P450 inhibitor	NR3C2	cardiology	congestive heart failure|hypertension
epomediol	Launched	cholesterol inhibitor	CYP7A1	neurology/psychiatry	itching
epoprostenol	Launched	prostacyclin analog	P2RY12|PTGER1|PTGER4|PTGIR|PTGIS	cardiology	hypertension
epothilone-A	Preclinical	microtubule stabilizing agent			
epothilone-B	Phase 3	microtubule stabilizing agent|tubulin polymerization inhibitor	TUBB		
epothilone-D	Phase 2	microtubule stabilizing agent|tubulin polymerization inhibitor	TUBB		
EPPTB	Preclinical	trace amine associated receptor antagonist	TAAR1		
eprazinone	Launched	mucolytic agent		pulmonary	bronchospasm
eprinomectin	Launched	benzodiazepine receptor agonist		infectious disease	gastrointestinal roundworms|lungworms
epristeride	Preclinical	5 alpha reductase inhibitor			
eprobemide	Launched	monoamine oxidase inhibitor	MAOA	neurology/psychiatry	depression
eprodisate	Phase 3	amyloid protein inhibitor|antiamyloidogenic agent	SAA1		
eprosartan	Launched	angiotensin receptor antagonist	AGTR1	cardiology	hypertension
eptifibatide	Launched	platelet aggregation inhibitor	ITGA2B|ITGB3	cardiology	acute coronary syndrome (ACS)|percutaneous coronary intervention (PCI)
EPZ-5676	Phase 1	histone lysine methyltransferase inhibitor	DOT1L		
EPZ004777	Preclinical	histone lysine methyltransferase inhibitor	DOT1L		
EPZ005687	Preclinical	histone lysine methyltransferase inhibitor	EZH2		
EPZ011989	Preclinical	histone lysine methyltransferase inhibitor	EZH2		
EPZ015666	Preclinical	protein arginine N-methyltransferase inhibitor	PRMT5		
EPZ020411	Preclinical	protein arginine N-methyltransferase inhibitor	PRMT6		
equilin	Preclinical	estrogen receptor agonist	HSD17B1		
equol	Launched	estrogen receptor agonist	ESR1|ESR2		
ER-27319	Preclinical	mediator release inhibitor|SYK inhibitor	SYK		
ER-50891	Preclinical	retinoid receptor antagonist	RARA		
erastin	Preclinical	ion channel antagonist	VDAC2		
eravacycline	Launched	antibacterial			
erbstatin-analog	Preclinical	EGFR inhibitor|tyrosine kinase inhibitor	EGFR		
ercalcitriol	Phase 1	vitamin D receptor agonist	VDR		
erdafitinib	Launched	FGFR inhibitor	FGFR1|FGFR2|FGFR3|FGFR4		
erdosteine	Launched	mucolytic agent		pulmonary|infectious disease	bronchitis|cough suppressant|chronic obstructive pulmonary disease (COPD)|respiratory tract infections
ergocalciferol	Launched	vitamin analog	VDR	endocrinology|orthopedics	hypoparathyroidism|rickets|hypophosphatemia
ergonovine	Launched	adrenergic receptor agonist|serotonin receptor agonist	ADRA1A|HTR1E	hematology	postpartum hemorrhage (PPH)
ergosterol	Preclinical	vitamin D precursor			
ergotamine	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|DRD1|DRD2|DRD5|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR5A|HTR6|SLC6A2	neurology/psychiatry	migraine headache
eribulin	Launched	microtubule inhibitor		oncology	breast cancer
ERK5-IN-1	Preclinical	MAP kinase inhibitor	MAPK7		
erlotinib	Launched	EGFR inhibitor	EGFR|NR1I2	oncology	non-small cell lung cancer (NSCLC)|pancreatic cancer
ertapenem	Launched	bacterial cell wall synthesis inhibitor		infectious disease	intra-abdominal infections|skin infections|pneumonia|urinary tract infections|gynecologic infections|postpartum endomyometritis
erteberel	Phase 2	estrogen receptor agonist	ESR1|ESR2		
ertugliflozin	Launched	sodium/glucose cotransporter inhibitor	SLC5A2	endocrinology	diabetes mellitus
